Sl. No.,Category,State/UT/City,Dangerous or Careless Driving/Over-taking/etc. - Cases,Dangerous or Careless Driving/Over-taking/etc. - Injured,Dangerous or Careless Driving/Over-taking/etc. - Died,Over Speeding - Cases,Over Speeding - Injured,Over Speeding - Died,Driving under Influence of Drug/Alcohol - Cases,Driving under Influence of Drug/Alcohol - Injured,Driving under Influence of Drug/Alcohol - Died,Physical Fatigue of Drivers - Cases,Physical Fatigue of Drivers - Injured,Physical Fatigue of Drivers - Died,Defect in Mechanical Condition of Motor Vehicle - Cases,Defect in Mechanical Condition of Motor Vehicle - Injured,Defect in Mechanical Condition of Motor Vehicle - Died,Animal Crossing - Cases,Animal Crossing - Injured,Animal Crossing - Died,Weather Condition (Total) - Cases,Weather Condition (Total) - Injured,Weather Condition (Total) - Died,Weather Condition (Poor Visibility) - Cases,Weather Condition (Poor Visibility) - Injured,Weather Condition (Poor Visibility) - Died,Weather Condition (Others Causes) - Cases,Weather Condition (Others Causes) - Injured,Weather Condition (Others Causes) - Died,Lack of Road Infrastructure - Cases,Lack of Road Infrastructure - Injured,Lack of Road Infrastructure - Died,Vehicles Parking at Road Shoulders - Cases,Vehicles Parking at Road Shoulders - Injured,Vehicles Parking at Road Shoulders - Died,Causes Not Known - Cases,Causes Not Known - Injured,Causes Not Known - Died,Other Causes - Cases,Other Causes - Injured,Other Causes - Died,Total Road Accidents - Cases,Total Road Accidents - Injured,Total Road Accidents - Died,Unmanned Railway Crossing Accidents - Cases,Unmanned Railway Crossing Accidents - Injured,Unmanned Railway Crossing Accidents - Died,Grand Total - Cases,Grand Total - Injured,Grand Total - Died
78,City,Rajkot,0,0,0,617,494,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617,494,161,0,0,0,617,494,161
79,City,Ranchi,3,4,7,331,238,220,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,243,230,0,0,0,337,243,230
80,City,Srinagar,0,0,0,334,319,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,26,5,0,0,0,363,345,60,0,0,0,363,345,60
81,City,Surat,142,128,51,603,565,188,0,0,0,0,0,0,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,757,704,240,0,0,0,757,704,240
82,City,Thiruvananthapuram,850,914,66,919,1180,89,87,138,2,0,0,0,2,2,0,10,5,4,118,124,5,55,53,3,63,71,2,29,40,6,0,0,0,0,0,0,25,0,0,2040,2403,172,0,0,0,2040,2403,172
83,City,Thrissur,354,473,38,984,1027,58,12,14,1,0,0,0,13,4,10,9,10,1,0,0,0,0,0,0,0,0,0,12,17,0,0,0,0,0,0,0,0,0,0,1384,1545,108,0,0,0,1384,1545,108
84,City,Tiruchirappalli,0,0,0,597,732,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,36,19,638,768,134,0,0,0,638,768,134
85,City,Vadodara,52,53,8,806,695,177,9,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867,755,186,0,0,0,867,755,186
86,City,Varanasi,79,32,51,25,13,12,8,3,5,0,0,0,0,0,0,2,1,1,32,17,15,18,7,11,14,10,4,0,0,0,6,3,3,111,87,26,0,0,0,263,156,113,0,0,0,263,156,113
87,City,Vasai Virar,160,94,89,179,97,89,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,2,1,3,1,0,20,5,13,12,5,4,380,206,196,0,0,0,380,206,196
88,City,Vijayawada,188,255,34,1236,1215,285,2,0,2,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,53,27,1491,1525,349,0,0,0,1491,1525,349
89,City,Vishakhapatnam,238,226,55,1050,1000,216,29,23,11,0,0,0,0,0,0,0,0,0,37,33,5,16,15,1,21,18,4,14,11,3,1,0,1,0,0,0,5,1,5,1374,1294,296,0,0,0,1374,1294,296
City,City,Total (Cities),19193,16563,4415,36520,32708,7647,1779,1392,476,324,351,67,1071,1145,194,276,249,127,2484,2050,487,1108,988,263,1376,1062,224,675,975,208,710,711,117,2881,2237,750,5667,4162,759,71580,62543,15247,23,0,23,71603,62543,15270
